timestamp,model,n,seed,iters,test_error_pct,train_error_pct,final_train_loss,wall_min,device
2026-08-06T01:39:24+00:00,resnet20,3,0,64000,8.3,,0.0155,53.0,cuda
2026-08-06T03:48:54+00:00,resnet56,9,0,64000,6.91,,0.0056,129.3,cuda
2026-08-06T21:49:54+00:00,resnet20,3,1,64000,8.13,,0.0195,43.5,cuda
2026-08-06T22:33:47+00:00,resnet20,3,2,64000,8.73,,0.0205,43.7,cuda
2026-08-07T00:38:10+00:00,resnet56,9,1,64000,7.21,,0.003,124.2,cuda
2026-08-07T02:42:31+00:00,resnet56,9,2,64000,8.22,,0.0114,124.2,cuda
2026-08-12T00:37:48+00:00,preact56,9,0,64000,7.08,0.03,0.0017,121.4,cuda
2026-08-12T02:39:27+00:00,preact56,9,1,64000,7.03,0.03,0.0038,121.5,cuda
2026-08-12T04:41:11+00:00,preact56,9,2,64000,7.55,0.02,0.0015,121.6,cuda
2026-08-12T08:58:41+00:00,resnet56_c100,9,0,64000,29.33,0.64,0.063,116.5,cuda
2026-08-12T10:55:19+00:00,resnet56_c100,9,1,64000,30.16,0.51,0.0709,116.5,cuda
2026-08-12T12:51:57+00:00,resnet56_c100,9,2,64000,29.77,0.62,0.0371,116.5,cuda
2026-08-13T05:58:01+00:00,preact56_c100,9,0,64000,29.96,0.49,0.0592,113.1,cuda
2026-08-13T07:50:48+00:00,preact56_c100,9,1,64000,30.35,0.49,0.0869,112.6,cuda
2026-08-13T09:43:32+00:00,preact56_c100,9,2,64000,29.61,0.48,0.0294,112.6,cuda
2026-08-17T09:33:22+00:00,resnet56_rerun,9,2,64000,7.57,0.03,0.0022,123.7,cuda
